"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;3;"Governador";10198;40;"JOÃO ALBERTO RODRIGUES CAPIBERIBE";"CAPI 40";"#NE";12;"APTO";2;"DEFERIDO";"Partido isolado";40;"PSB";"PARTIDO SOCIALISTA BRASILEIRO";-1;"PARTIDO ISOLADO";"PSB";4;"NÃO ELEITO";"N";890
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;3;"Governador";10063;50;"CLÉCIO LUÍS VILHENA VIEIRA";"CLÉCIO";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";50;"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";1003;"FRENTE DE ESQUERDA";"PSTU / PCB / PSOL";4;"NÃO ELEITO";"N";23
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;3;"Governador";10000;13;"ERROLFLYNN DE SOUZA PAIXÃO";"ERROLFLYNN PAIXÃO";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";13;"PT";"PARTIDO DOS TRABALHADORES";1001;"AMAPÁ FORTE";"PT / PL / PC do B";4;"NÃO ELEITO";"N";84
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;3;"Governador";10371;31;"GIL MAURO DE SOUZA";"GIL MAURO";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";31;"PHS";"PARTIDO HUMANISTA DA SOLIDARIEDADE";1040;"CONSTRUINDO UM AMAPÁ MELHOR";"PSL / PHS / PTC / PRP";4;"NÃO ELEITO";"N";1
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;3;"Governador";10284;26;"RAIMUNDO NONATO DA SILVA SOUZA";"NONATO SOUZA";"#NE";12;"APTO";2;"DEFERIDO";"Partido isolado";26;"PAN";"PARTIDO DOS APOSENTADOS DA NAÇÃO";-1;"PARTIDO ISOLADO";"PAN";4;"NÃO ELEITO";"N";1
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;3;"Governador";10396;45;"JOAO BOSCO PAPALEO PAES";"PAPALEO";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";45;"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";1041;"AMAPÁ DESENVOLVIMENTO COM DIGNIDADE";"PTB / PTN / PPS / PFL / PRTB / PMN / PSDB / PT do B";4;"NÃO ELEITO";"N";45
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;3;"Governador";10081;12;"ANTÔNIO WALDEZ GÓES DA SILVA";"WALDEZ";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";12;"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";1004;"UNIÃO PELO AMAPÁ";"PDT / PP / PMDB / PV / PSC / PRONA";1;"ELEITO";"N";1505
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;5;"Senador";10077;501;"CELISA PENNA MELO CAPELARI";"CELISA MELO";"#NE";12;"APTO";2;"DEFERIDO";"Partido isolado";50;"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";-1;"PARTIDO ISOLADO";"PSOL";4;"NÃO ELEITO";"N";32
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;5;"Senador";10200;401;"MARIA CRISTINA DO ROSÁRIO ALMEIDA";"CRISTINA ALMEIDA 401";"#NE";12;"APTO";2;"DEFERIDO";"Partido isolado";40;"PSB";"PARTIDO SOCIALISTA BRASILEIRO";-1;"PARTIDO ISOLADO";"PSB";4;"NÃO ELEITO";"N";825
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;5;"Senador";10620;452;"JURACI FREITAS DE SOUSA";"JURACI FREITAS";"#NE";12;"APTO";2;"DEFERIDO";"Partido isolado";45;"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";-1;"PARTIDO ISOLADO";"PSDB";4;"NÃO ELEITO";"N";18
"13/05/2022";"19:53:47";"2006";2;"Eleição Ordinária";1;2006001;"ELEIÇÕES GERAIS 2006 PRIMEIRO TURNO";"01/10/2006";"F";"AP";"AP";"AMAPÁ";"06084";"AMAPARI";11;5;"Senador";10076;212;"RICARDO GONÇALVES SANTOS";"RICARDO SANTOS";"#NE";12;"APTO";2;"DEFERIDO";"Partido isolado";21;"PCB";"PARTIDO COMUNISTA BRASILEIRO";-1;"PARTIDO ISOLADO";"PCB";4;"NÃO ELEITO";"N";8
