"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";563;27;"ADERVAN FRANS GUIMARÃES MIRA";"ADERVAN MIRA";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";27;"PSDC";"Partido Social Democrata Cristão";82;"UM AMAPÁ PARA TODOS";"PSDC / PT";4;"NÃO ELEITO";"N";324
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";840;11;"FRANCISCO DE ASSIS LEITE TEIXEIRA";"ASSIS";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";11;"PP";"Partido Progressista";104;"UNIDOS PELO AMAPÁ";"PP / PR / PC do B / PRB / PT do B / PSC / PDT";4;"NÃO ELEITO";"N";2085
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";658;25;"CARLOS CESAR DA SILVA";"PEBA";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";25;"DEM";"Democratas";88;"AMAPA POPULAR";"PSL / PTB / PMDB / DEM / PV / PSB / PSDB / PRTB / PPS";1;"ELEITO";"N";2105
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";846;10123;"ALVARO MARQUES PEREIRA";"ALVARO PEREIRA";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";10;"PRB";"Partido Republicano Brasileiro";104;"UNIDOS PELO AMAPÁ";"PP / PR / PC do B / PRB / PT do B / PSC / PDT";2;"SUPLENTE";"N";3
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";669;15152;"MARIA BENEDITA CAMBRAIA DIAS";"BENEDITA";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";88;"AMAPA POPULAR";"PSL / PTB / PMDB / DEM / PV / PSB / PSDB / PRTB / PPS";2;"SUPLENTE";"N";3
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";852;22222;"FRANCINELSON  GUILHERME VILHENA";"BOGA";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";22;"PR";"Partido da República";104;"UNIDOS PELO AMAPÁ";"PP / PR / PC do B / PRB / PT do B / PSC / PDT";2;"SUPLENTE";"N";128
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";567;13000;"CARLOS GOMES DE SOUZA NETO";"CARLOS GOMES";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";13;"PT";"Partido dos Trabalhadores";82;"UM AMAPÁ PARA TODOS";"PSDC / PT";2;"SUPLENTE";"N";40
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";662;40789;"CARLOS SAMPAIO DUARTE";"CARLOS SAMPAIO";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";40;"PSB";"Partido Socialista Brasileiro";88;"AMAPA POPULAR";"PSL / PTB / PMDB / DEM / PV / PSB / PSDB / PRTB / PPS";1;"ELEITO";"N";255
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";660;23444;"ADANILSON FERREIRA VAZ";"DADÁ";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";23;"PPS";"Partido Popular Socialista";88;"AMAPA POPULAR";"PSL / PTB / PMDB / DEM / PV / PSB / PSDB / PRTB / PPS";1;"ELEITO";"N";219
"21/03/2022";"12:55:18";"2008";2;"Eleição Ordinária";1;30;"ELEIÇÕES 2008";"05/10/2008";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";663;28123;"DORIVAL DOS SANTOS SOBRAL";"DORIVAL SOBRAL";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";88;"AMAPA POPULAR";"PSL / PTB / PMDB / DEM / PV / PSB / PSDB / PRTB / PPS";2;"SUPLENTE";"N";121
