"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;3;"Governador";229;40;"CLÁUDIO PINHO SANTANA";"CLÁUDIO 40";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";40;"PSB";"Partido Socialista Brasileiro";16;"AMAPÁ SUSTENTÁVEL";"PSB / PRP";4;"NÃO ELEITO";"N";614
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;3;"Governador";213;13;"MARIA DALVA DE SOUZA FIGUEIREDO";"DALVA";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";13;"PT";"Partido dos Trabalhadores";14;"AMAPÁ POPULAR";"PT / PL / PMN / PC do B / PCB / PSC / PHS / PST / PV / PRONA";6;"2º TURNO";"N";1011
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;3;"Governador";156;16;"EDENILSON ALENCAR MENDONÇA";"EDENILSON";"#NE";12;"APTO";2;"DEFERIDO";"Partido isolado";16;"PSTU";"Partido Socialista dos Trabalhadores Unificado";-1;"PARTIDO ISOLADO";"PSTU";4;"NÃO ELEITO";"N";4
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;3;"Governador";334;45;"FÁTIMA LÚCIA PELAES";"FÁTIMA PELAES";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";13;"UNIÃO, TRABALHO E PAZ";"PMDB / PFL / PSDB ";4;"NÃO ELEITO";"N";298
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;3;"Governador";285;12;"ANTONIO WALDEZ GOES DA SILVA";"WALDEZ";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";12;"PDT";"Partido Democrático Trabalhista";21;"UNIDOS PELO AMAPÁ";"PDT / PPB / PTB / PPS / PSD / PT do B / PAN / PSL / PRTB ";6;"2º TURNO";"N";1433
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;5;"Senador";235;401;"JOÃO ALBERTO RODRIGUES CAPIBERIBE";"CAPI";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";40;"PSB";"Partido Socialista Brasileiro";16;"AMAPÁ SUSTENTÁVEL";"PSB / PRP";1;"ELEITO";"N";1301
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;5;"Senador";279;456;"ANTÔNIO DA JUSTA FEIJÃO";"FEIJÃO";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";45;"PSDB";"Partido da Social Democracia Brasileira";13;"UNIÃO, TRABALHO E PAZ";"PMDB / PFL / PSDB ";4;"NÃO ELEITO";"N";221
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;5;"Senador";335;152;"GILVAM PINHEIRO BORGES";"GILVAM BORGES";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";15;"PMDB";"Partido do Movimento Democrático Brasileiro";13;"UNIÃO, TRABALHO E PAZ";"PMDB / PFL / PSDB ";4;"NÃO ELEITO";"N";2217
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;5;"Senador";217;133;"LOURIVAL DO CARMO DE FREITAS";"LOURIVAL FREITAS";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";13;"PT";"Partido dos Trabalhadores";14;"AMAPÁ POPULAR";"PT / PL / PMN / PC do B / PCB / PSC / PHS / PST / PV / PRONA";4;"NÃO ELEITO";"N";404
"18/03/2022";"13:18:59";"2002";2;"Eleição Ordinária";1;200201;"ELEIÇÕES GERAIS 2002 PRIMEIRO TURNO";"06/10/2002";"F";"AP";"06017";"AMAPA";"06017";"AMAPA";1;5;"Senador";331;147;"JOÃO BOSCO PAPALÉO PAES";"PAPALÉO ";"#NE";12;"APTO";2;"DEFERIDO";"Coligação";14;"PTB";"Partido Trabalhista Brasileiro";21;"UNIDOS PELO AMAPÁ";"PDT / PPB / PTB / PPS / PSD / PT do B / PAN / PSL / PRTB ";1;"ELEITO";"N";1386
