"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000011;40;"CARLOS CAMILO GOES CAPIBERIBE";"CAMILO CAPIBERIBE";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";40;"PSB";"PARTIDO SOCIALISTA BRASILEIRO";30000000003;"FRENTE POPULAR";"PSB / PT";6;"2º TURNO";"N";412
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000004;16;"GENIVAL CRUZ DE ARAÚJO";"GENIVAL CRUZ";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";16;"PSTU";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";30000000002;"#NULO#";"PSTU";4;"NÃO ELEITO";"N";7
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000294;45;"JORGE EMANOEL AMANAJAS CARDOSO";"JORGE AMANAJAS";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";45;"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";30000000013;"AMAPA MAIS FORTE";"PMDB / PPS / PSC / PSDB / PTN / PV";4;"NÃO ELEITO";"N";1369
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000585;14;"LUIZ CANTUÁRIA BARRETO";"LUCAS";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";14;"PTB";"PARTIDO TRABALHISTA BRASILEIRO";30000000023;"UNIÃO POPULAR PELA MUDANÇA";"PCB / PMN / PRP / PRTB / PSDC / PTB / PTC";6;"2º TURNO";"N";1662
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000213;11;"PEDRO PAULO DIAS DE CARVALHO";"PEDRO PAULO";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";11;"PP";"PARTIDO PROGRESSISTA";30000000001;"O TRABALHO PRECISA CONTINUAR";"DEM / PC do B / PDT / PHS / PP / PR / PRB / PSL / PT do B";4;"NÃO ELEITO";"N";801
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000013;401;"JOAO ALBERTO RODRIGUES CAPIBERIBE";"CAPI";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";40;"PSB";"PARTIDO SOCIALISTA BRASILEIRO";30000000003;"FRENTE POPULAR";"PSB / PT";1;"ELEITO";"N";1252
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000296;152;"GILVAM PINHEIRO BORGES";"GILVAM BORGES";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";15;"PMDB";"PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO";30000000013;"AMAPA MAIS FORTE";"PMDB / PPS / PSC / PSDB / PTN / PV";4;"NÃO ELEITO";"N";1473
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000297;456;"JOAO BOSCO PAPALEO PAES";"PAPALEO";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";45;"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";30000000013;"AMAPA MAIS FORTE";"PMDB / PPS / PSC / PSDB / PTN / PV";4;"NÃO ELEITO";"N";530
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000014;131;"MARCOS ROBERTO MARQUES DA SILVA";"PROFESSOR MARCOS";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";13;"PT";"PARTIDO DOS TRABALHADORES";30000000003;"FRENTE POPULAR";"PSB / PT";4;"NÃO ELEITO";"N";395
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000664;500;"RANDOLPH FREDERICH RODRIGUES ALVES";"RANDOLFE";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";50;"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";30000000041;"#NULO#";"PSOL";1;"ELEITO";"N";2493
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000001;123;"ANTONIO WALDEZ GOES DA SILVA";"WALDEZ";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";12;"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";30000000001;"O TRABALHO PRECISA CONTINUAR";"DEM / PC do B / PDT / PHS / PP / PR / PRB / PSL / PT do B";4;"NÃO ELEITO";"N";2124
"19/07/2021";"10:55:45";"2010";2;"Eleição Ordinária";1;37;"ELEIÇÕES 2010";"03/10/2010";"F";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;6;"Deputado Federal";30000000019;4030;"ANTONIO CARLOS DINIZ";"AC DINIZ";"#NE";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";40;"PSB";"PARTIDO SOCIALISTA BRASILEIRO";30000000003;"FRENTE POPULAR";"PSB / PT";2;"SUPLENTE";"N";4
