"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";30000000480;10;"FRANCISCO DE ASSIS LEITE TEIXEIRA";"DR ASSIS";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";10;"PRB";"Partido Republicano Brasileiro";30000000036;"CONSTRUINDO O AMAPÁ MELHOR";"PRB / PT / PPS / PSDB";1;"ELEITO";"N";1683
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";30000001949;19;"FRANCISCO JOSÉ ALMEIDA FILHO";"FRANCISCO ALMEIDA";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";19;"PTN";"Partido Trabalhista Nacional";30000000153;"UMA LUZ PARA O AMAPÁ";"PMDB / PTN";4;"NÃO ELEITO";"N";270
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";30000000233;22;"NATAN SILVA LAGE";"NATAN LAGE";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";22;"PR";"Partido da República";30000000019;"RENOVA AMAPA";"PDT / PR / PHS";4;"NÃO ELEITO";"N";1573
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";30000001766;25;"CARLOS CÉSAR DA SILVA";"PEBA";"#NULO#";12;"APTO";4;"INDEFERIDO COM RECURSO";"Coligação";25;"DEM";"Democratas";30000000136;"AVANÇA AMAPÁ";"DEM / PSD / PSC / PSDC / PT do B / PTB";4;"NÃO ELEITO";"N";0
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;11;"Prefeito";30000000247;40;"VALTER RUBEN VANDER LINDEN VIEIRA";"VALTER VIEIRA";"#NULO#";12;"APTO";4;"INDEFERIDO COM RECURSO";"Coligação";40;"PSB";"Partido Socialista Brasileiro";30000000020;"AMAPÁ NO RUMO NOVO";"PP / PRTB / PMN / PSB / PV / PC do B";4;"NÃO ELEITO";"N";0
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000000235;22580;"ALDO SANTANA GONÇALVES";"ALDO";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";22;"PR";"Partido da República";30000000019;"RENOVA AMAPA";"PDT / PR / PHS";2;"ELEITO POR QP";"N";182
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000002385;12555;"ALTAMIRA TAVARES FIGUEIREDO";"ALTAMIRA";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";12;"PDT";"Partido Democrático Trabalhista";30000000019;"RENOVA AMAPA";"PDT / PR / PHS";5;"SUPLENTE";"N";0
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000000436;23222;"ANGELO SUCUPIRA";"ANGELO SUCUPIRA";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";23;"PPS";"Partido Popular Socialista";30000000033;"PRA FRENTE AMAPÁ";"PRB / PT / PPS / PSDB";2;"ELEITO POR QP";"N";178
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000000237;22222;"ANTONIO LACERDA DE SOUZA";"ANTONIO";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";22;"PR";"Partido da República";30000000019;"RENOVA AMAPA";"PDT / PR / PHS";5;"SUPLENTE";"N";24
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000001954;19123;"ELILSON PALMEIRIM ARRUDA";"ARRUDA";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";19;"PTN";"Partido Trabalhista Nacional";30000000153;"UMA LUZ PARA O AMAPÁ";"PMDB / PTN";4;"NÃO ELEITO";"N";83
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000000437;10111;"FRANCINELSON GUILHERME VILHENA";"BOGA";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";10;"PRB";"Partido Republicano Brasileiro";30000000033;"PRA FRENTE AMAPÁ";"PRB / PT / PPS / PSDB";5;"SUPLENTE";"N";140
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000000238;12112;"CARLOS VALBSON DE BARROS PEIXOTO";"CARLOS PEIXOTO";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";12;"PDT";"Partido Democrático Trabalhista";30000000019;"RENOVA AMAPA";"PDT / PR / PHS";5;"SUPLENTE";"N";146
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000001953;19332;"EDINALDO DE MELO FERREIRA";"CARRÁ";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";19;"PTN";"Partido Trabalhista Nacional";30000000153;"UMA LUZ PARA O AMAPÁ";"PMDB / PTN";4;"NÃO ELEITO";"N";63
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000001951;19196;"CLELIS SANTOS SILVA";"CLELIS";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";19;"PTN";"Partido Trabalhista Nacional";30000000153;"UMA LUZ PARA O AMAPÁ";"PMDB / PTN";4;"NÃO ELEITO";"N";2
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000000255;40123;"GEOVAN SOUZA DA COSTA";"COSTA FILHO";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";40;"PSB";"Partido Socialista Brasileiro";30000000020;"AMAPÁ NO RUMO NOVO";"PP / PRTB / PMN / PSB / PV / PC do B";4;"NÃO ELEITO";"N";79
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000002369;40212;"CRISTIANE DE ARRUDA MACIEL";"CRIS";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";40;"PSB";"Partido Socialista Brasileiro";30000000020;"AMAPÁ NO RUMO NOVO";"PP / PRTB / PMN / PSB / PV / PC do B";4;"NÃO ELEITO";"N";0
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000001952;19199;"CRISTINEI DA SILVA MIRA";"CRISTINEI MIRA";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";19;"PTN";"Partido Trabalhista Nacional";30000000153;"UMA LUZ PARA O AMAPÁ";"PMDB / PTN";4;"NÃO ELEITO";"N";26
"26/07/2021";"16:58:35";"2012";2;"Eleição Ordinária";1;47;"ELEIÇÃO MUNICIPAL 2012";"07/10/2012";"M";"AP";"06017";"AMAPÁ";"06017";"AMAPÁ";1;13;"Vereador";30000000435;23444;"ADANILSON FERREIRA VAZ";"DADÁ";"#NULO#";12;"APTO";2;"DEFERIDO";"Coligação";23;"PPS";"Partido Popular Socialista";30000000033;"PRA FRENTE AMAPÁ";"PRB / PT / PPS / PSDB";5;"SUPLENTE";"N";151
