"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000150;2012;"JULIAM EDUARDO HOLANDA SOARES";"EDUARDO HOLANDA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";20;"PSC";"Partido Social Cristão";30000000009;"O AMAPÁ QUE QUEREMOS";"PMN / PPL / PPS / PRP / PRTB / PSC / PTB / PTC";5;"SUPLENTE";"N";22
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000157;1414;"EDUARDO SEABRA DA COSTA";"EDUARDO SEABRA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";14;"PTB";"Partido Trabalhista Brasileiro";30000000009;"O AMAPÁ QUE QUEREMOS";"PMN / PPL / PPS / PRP / PRTB / PSC / PTB / PTC";5;"SUPLENTE";"N";31
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000465;1321;"EMERSON SILVEIRA DA SILVA";"EMERSON SILVEIRA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";13;"PT";"Partido dos Trabalhadores";30000000019;"FRENTE POPULAR A FAVOR DO AMAPA";"PC do B / PSB / PSOL / PT";5;"SUPLENTE";"N";10
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000350;2707;"EURISON DE ANDRADE DA SILVA";"ERISON REAL";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";27;"PSDC";"Partido Social Democrata Cristão";30000000014;"AVANÇA AMAPÁ";"PEN / PHS / PR / PRB / PROS / PSDC / PT do B / PV";5;"SUPLENTE";"N";76
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000118;1111;"EURICELIA MELO CARDOSO";"EURICELIA CARDOSO";"#NULO#";12;"APTO";16;"DEFERIDO COM RECURSO";"COLIGAÇÃO";11;"PP";"Partido Progressista";30000000006;"A FORÇA DO POVO";"PDT / PMDB / PP";5;"SUPLENTE";"N";24
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000154;2855;"EVANDRO COSTA GAMA";"EVANDRO GAMA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";30000000009;"O AMAPÁ QUE QUEREMOS";"PMN / PPL / PPS / PRP / PRTB / PSC / PTB / PTC";5;"SUPLENTE";"N";46
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000360;2716;"FABIANA FERREIRA BARROS";"FABIANA";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";27;"PSDC";"Partido Social Democrata Cristão";30000000014;"AVANÇA AMAPÁ";"PEN / PHS / PR / PRB / PROS / PSDC / PT do B / PV";5;"SUPLENTE";"N";1
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000165;3333;"FRAN SOARES NASCIMENTO JUNIOR";"FRAN JUNIOR";"#NULO#";3;"INAPTO";14;"INDEFERIDO";"COLIGAÇÃO";33;"PMN";"Partido da Mobilização Nacional";30000000009;"O AMAPÁ QUE QUEREMOS";"PMN / PPL / PPS / PRP / PRTB / PSC / PTB / PTC";4;"NÃO ELEITO";"N";0
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000119;1515;"FÁTIMA LÚCIA PELAES";"FÁTIMA PELAES";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";30000000006;"A FORÇA DO POVO";"PDT / PMDB / PP";5;"SUPLENTE";"N";836
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06025";"PORTO GRANDE";12;6;"Deputado Federal";30000000341;9012;"GEORGE CARLOS BARBOSA SANTANA";"GEORGE";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";90;"PROS";"Partido Republicano da Ordem Social";30000000014;"AVANÇA AMAPÁ";"PEN / PHS / PR / PRB / PROS / PSDC / PT do B / PV";5;"SUPLENTE";"N";10
